seqnames	start	end	width	strand	protein_id	tx_id	exon_id	exon_rank	cds_ok	protein_start	protein_end	prot_length
6	29945234	29945281	48	+	ENSP00000516615	ENST00000706904	ENSE00003515521	8	TRUE	1	366	366
6	29947682	29947686	5	+	ENSP00000516615	ENST00000706904	ENSE00003997364	9	TRUE	1	366	366
6	29942554	29942626	73	+	ENSP00000366002	ENST00000376806	ENSE00001829686	1	TRUE	1	371	371
6	29942757	29943026	270	+	ENSP00000366002	ENST00000376806	ENSE00003893776	2	TRUE	1	371	371
6	29943268	29943543	276	+	ENSP00000366002	ENST00000376806	ENSE00003895764	3	TRUE	1	371	371
6	29944122	29944397	276	+	ENSP00000366002	ENST00000376806	ENSE00003617747	4	TRUE	1	371	371
6	29944500	29944634	135	+	ENSP00000366002	ENST00000376806	ENSE00003510890	5	TRUE	1	371	371
6	29945059	29945091	33	+	ENSP00000366002	ENST00000376806	ENSE00003618247	6	TRUE	1	371	371
6	29945234	29945281	48	+	ENSP00000366002	ENST00000376806	ENSE00003515521	7	TRUE	1	371	371
6	29945451	29945452	2	+	ENSP00000366002	ENST00000376806	ENSE00003648072	8	TRUE	1	371	371
6	29942554	29942626	73	+	ENSP00000516616	ENST00000706905	ENSE00003997361	1	TRUE	1	365	365
6	29942757	29943026	270	+	ENSP00000516616	ENST00000706905	ENSE00003893776	2	TRUE	1	365	365
6	29943268	29943543	276	+	ENSP00000516616	ENST00000706905	ENSE00003895764	3	TRUE	1	365	365
6	29944122	29944397	276	+	ENSP00000516616	ENST00000706905	ENSE00003617747	4	TRUE	1	365	365
6	29944500	29944616	117	+	ENSP00000516616	ENST00000706905	ENSE00003518731	5	TRUE	1	365	365
6	29945059	29945091	33	+	ENSP00000516616	ENST00000706905	ENSE00003618247	6	TRUE	1	365	365
6	29945234	29945281	48	+	ENSP00000516616	ENST00000706905	ENSE00003515521	7	TRUE	1	365	365
6	29945451	29945452	2	+	ENSP00000516616	ENST00000706905	ENSE00003997367	8	TRUE	1	365	365
6	29942554	29942626	73	+	ENSP00000366005	ENST00000376809	ENSE00003997344	1	TRUE	1	365	365
6	29942757	29943026	270	+	ENSP00000366005	ENST00000376809	ENSE00003893776	2	TRUE	1	365	365
6	29943268	29943543	276	+	ENSP00000366005	ENST00000376809	ENSE00003895764	3	TRUE	1	365	365
6	29944122	29944397	276	+	ENSP00000366005	ENST00000376809	ENSE00003617747	4	TRUE	1	365	365
6	29944500	29944616	117	+	ENSP00000366005	ENST00000376809	ENSE00003518731	5	TRUE	1	365	365
6	29945059	29945091	33	+	ENSP00000366005	ENST00000376809	ENSE00003618247	6	TRUE	1	365	365
6	29945234	29945281	48	+	ENSP00000366005	ENST00000376809	ENSE00003515521	7	TRUE	1	365	365
6	29945451	29945452	2	+	ENSP00000366005	ENST00000376809	ENSE00003997356	8	TRUE	1	365	365
6	29942554	29942630	77	+	ENSP00000519715	ENST00000714446	ENSE00004024014	1	TRUE	1	329	329
6	29942869	29943026	158	+	ENSP00000519715	ENST00000714446	ENSE00004024012	2	TRUE	1	329	329
6	29943268	29943543	276	+	ENSP00000519715	ENST00000714446	ENSE00003895764	3	TRUE	1	329	329
6	29944122	29944397	276	+	ENSP00000519715	ENST00000714446	ENSE00003617747	4	TRUE	1	329	329
6	29944500	29944616	117	+	ENSP00000519715	ENST00000714446	ENSE00003518731	5	TRUE	1	329	329
6	29945059	29945091	33	+	ENSP00000519715	ENST00000714446	ENSE00003618247	6	TRUE	1	329	329
6	29945234	29945281	48	+	ENSP00000519715	ENST00000714446	ENSE00003515521	7	TRUE	1	329	329
6	29945451	29945452	2	+	ENSP00000519715	ENST00000714446	ENSE00004024013	8	TRUE	1	329	329
6	29942554	29942626	73	+	ENSP00000365998	ENST00000376802	ENSE00001698357	1	TRUE	1	299	299
6	29942757	29943026	270	+	ENSP00000365998	ENST00000376802	ENSE00003893776	2	TRUE	1	299	299
6	29943268	29943543	276	+	ENSP00000365998	ENST00000376802	ENSE00003895764	3	TRUE	1	299	299
6	29944122	29944397	276	+	ENSP00000365998	ENST00000376802	ENSE00003617747	4	TRUE	1	299	299
6	29945451	29945452	2	+	ENSP00000365998	ENST00000376802	ENSE00003648072	5	TRUE	1	299	299
6	29942554	29942626	73	+	ENSP00000492789	ENST00000638375	ENSE00003810240	1	TRUE	1	326	326
6	29942757	29943026	270	+	ENSP00000492789	ENST00000638375	ENSE00003893776	2	TRUE	1	326	326
6	29943268	29943543	276	+	ENSP00000492789	ENST00000638375	ENSE00003895764	3	TRUE	1	326	326
6	29944122	29944397	276	+	ENSP00000492789	ENST00000638375	ENSE00003617747	4	TRUE	1	326	326
6	29945059	29945091	33	+	ENSP00000492789	ENST00000638375	ENSE00003618247	5	TRUE	1	326	326
6	29945234	29945281	48	+	ENSP00000492789	ENST00000638375	ENSE00003515521	6	TRUE	1	326	326
6	29945451	29945452	2	+	ENSP00000492789	ENST00000638375	ENSE00003997359	7	TRUE	1	326	326
6	29942768	29943026	259	+	ENSP00000516617	ENST00000706900	ENSE00003997351	1	TRUE	1	337	337
6	29943268	29943543	276	+	ENSP00000516617	ENST00000706900	ENSE00003895764	2	TRUE	1	337	337
6	29944122	29944397	276	+	ENSP00000516617	ENST00000706900	ENSE00003617747	3	TRUE	1	337	337
6	29944500	29944616	117	+	ENSP00000516617	ENST00000706900	ENSE00003518731	4	TRUE	1	337	337
6	29945059	29945091	33	+	ENSP00000516617	ENST00000706900	ENSE00003618247	5	TRUE	1	337	337
6	29945234	29945281	48	+	ENSP00000516617	ENST00000706900	ENSE00003515521	6	TRUE	1	337	337
6	29945451	29945452	2	+	ENSP00000516617	ENST00000706900	ENSE00003997346	7	TRUE	1	337	337
